task,model,width,preproc,protocol,seed,fold,n_train,n_test,n_fit,n_val,train_acc,val_acc,test_acc,best_epoch,epochs_run,n_params
imagery_left_right_fist,shallow_fbcsp,default,ztrial,subject_disjoint,20260918,subj2,3281,1617,2786,495,0.892716,0.749495,0.719852,12,18,106482
real_left_right_fist,eegnet_v4,default,ztrial,trial_random,20260916,trial0,3264,1633,2774,490,0.821691,0.781633,0.763013,18,24,2770
real_left_right_fist,eegnet_v4,default,ztrial,trial_random,20260916,trial1,3265,1632,2775,490,0.874732,0.840816,0.784314,31,37,2770
real_left_right_fist,eegnet_v4,default,ztrial,trial_random,20260916,trial2,3265,1632,2775,490,0.855743,0.846939,0.792279,20,26,2770
real_left_right_fist,eegnet_v4,default,ztrial,trial_random,20260917,trial0,3264,1633,2774,490,0.874387,0.810204,0.802817,34,40,2770
real_left_right_fist,eegnet_v4,default,ztrial,trial_random,20260917,trial1,3265,1632,2775,490,0.782848,0.722449,0.700368,14,20,2770
real_left_right_fist,eegnet_v4,default,ztrial,trial_random,20260917,trial2,3265,1632,2775,490,0.85268,0.812245,0.792892,28,34,2770
real_left_right_fist,eegnet_v4,default,ztrial,trial_random,20260918,trial0,3264,1633,2774,490,0.892463,0.836735,0.796693,40,40,2770
real_left_right_fist,eegnet_v4,default,ztrial,trial_random,20260918,trial1,3265,1632,2775,490,0.875345,0.822449,0.778799,33,39,2770
real_left_right_fist,eegnet_v4,default,ztrial,trial_random,20260918,trial2,3265,1632,2775,490,0.855436,0.771429,0.806373,25,31,2770
real_left_right_fist,eegnet_v4,default,ztrial,run_disjoint,20260916,run0,3260,1637,2771,489,0.849693,0.807771,0.792303,26,32,2770
real_left_right_fist,eegnet_v4,default,ztrial,run_disjoint,20260916,run1,3267,1630,2776,491,0.846954,0.780041,0.795706,22,28,2770
real_left_right_fist,eegnet_v4,default,ztrial,run_disjoint,20260916,run2,3267,1630,2776,491,0.860422,0.820774,0.77546,25,31,2770
real_left_right_fist,eegnet_v4,default,ztrial,run_disjoint,20260917,run0,3260,1637,2771,489,0.859509,0.797546,0.788638,31,37,2770
real_left_right_fist,eegnet_v4,default,ztrial,run_disjoint,20260917,run1,3267,1630,2776,491,0.863789,0.798371,0.801227,27,33,2770
real_left_right_fist,eegnet_v4,default,ztrial,run_disjoint,20260917,run2,3267,1630,2776,491,0.866238,0.794297,0.78773,26,32,2770
real_left_right_fist,eegnet_v4,default,ztrial,run_disjoint,20260918,run0,3260,1637,2771,489,0.882822,0.815951,0.821014,32,38,2770
real_left_right_fist,eegnet_v4,default,ztrial,run_disjoint,20260918,run1,3267,1630,2776,491,0.856443,0.806517,0.78773,28,34,2770
real_left_right_fist,eegnet_v4,default,ztrial,run_disjoint,20260918,run2,3267,1630,2776,491,0.874809,0.810591,0.792638,29,35,2770
real_left_right_fist,eegnet_v4,default,ztrial,subject_disjoint,20260916,subj0,3240,1657,2745,495,0.857407,0.773737,0.783947,25,31,2770
real_left_right_fist,eegnet_v4,default,ztrial,subject_disjoint,20260916,subj1,3280,1617,2785,495,0.870427,0.832323,0.752628,30,36,2770
real_left_right_fist,eegnet_v4,default,ztrial,subject_disjoint,20260916,subj2,3274,1623,2767,507,0.862859,0.83432,0.800986,33,39,2770
real_left_right_fist,eegnet_v4,default,ztrial,subject_disjoint,20260917,subj0,3219,1678,2727,492,0.816403,0.79065,0.755662,20,26,2770
real_left_right_fist,eegnet_v4,default,ztrial,subject_disjoint,20260917,subj1,3292,1605,2784,508,0.847813,0.801181,0.736449,24,30,2770
real_left_right_fist,eegnet_v4,default,ztrial,subject_disjoint,20260917,subj2,3283,1614,2794,489,0.891867,0.791411,0.801735,39,40,2770
real_left_right_fist,eegnet_v4,default,ztrial,subject_disjoint,20260918,subj0,3235,1662,2743,492,0.867697,0.784553,0.777978,36,40,2770
real_left_right_fist,eegnet_v4,default,ztrial,subject_disjoint,20260918,subj1,3289,1608,2797,492,0.882031,0.861789,0.7699,28,34,2770
real_left_right_fist,eegnet_v4,default,ztrial,subject_disjoint,20260918,subj2,3270,1627,2775,495,0.830887,0.757576,0.751076,24,30,2770
real_left_right_fist,shallow_fbcsp,default,ztrial,trial_random,20260916,trial0,3264,1633,2774,490,0.920956,0.736735,0.734844,14,20,106482
real_left_right_fist,shallow_fbcsp,default,ztrial,trial_random,20260916,trial1,3265,1632,2775,490,0.903828,0.732653,0.702819,14,20,106482
real_left_right_fist,shallow_fbcsp,default,ztrial,trial_random,20260916,trial2,3265,1632,2775,490,0.86585,0.742857,0.705882,7,13,106482
real_left_right_fist,shallow_fbcsp,default,ztrial,trial_random,20260917,trial0,3264,1633,2774,490,0.921875,0.736735,0.729333,16,22,106482
real_left_right_fist,shallow_fbcsp,default,ztrial,trial_random,20260917,trial1,3265,1632,2775,490,0.865544,0.734694,0.710784,7,13,106482
real_left_right_fist,shallow_fbcsp,default,ztrial,trial_random,20260917,trial2,3265,1632,2775,490,0.943032,0.753061,0.735907,16,22,106482
real_left_right_fist,shallow_fbcsp,default,ztrial,trial_random,20260918,trial0,3264,1633,2774,490,0.947304,0.767347,0.745867,18,24,106482
real_left_right_fist,shallow_fbcsp,default,ztrial,trial_random,20260918,trial1,3265,1632,2775,490,0.953752,0.742857,0.738971,21,27,106482
real_left_right_fist,shallow_fbcsp,default,ztrial,trial_random,20260918,trial2,3265,1632,2775,490,0.951302,0.736735,0.748162,24,30,106482
real_left_right_fist,shallow_fbcsp,default,ztrial,run_disjoint,20260916,run0,3260,1637,2771,489,0.896626,0.742331,0.704948,11,17,106482
real_left_right_fist,shallow_fbcsp,default,ztrial,run_disjoint,20260916,run1,3267,1630,2776,491,0.830119,0.725051,0.689571,6,12,106482
real_left_right_fist,shallow_fbcsp,default,ztrial,run_disjoint,20260916,run2,3267,1630,2776,491,0.908479,0.765784,0.716564,11,17,106482
real_left_right_fist,shallow_fbcsp,default,ztrial,run_disjoint,20260917,run0,3260,1637,2771,489,0.930368,0.736196,0.715944,15,21,106482
real_left_right_fist,shallow_fbcsp,default,ztrial,run_disjoint,20260917,run1,3267,1630,2776,491,0.888277,0.725051,0.722699,11,17,106482
real_left_right_fist,shallow_fbcsp,default,ztrial,run_disjoint,20260917,run2,3267,1630,2776,491,0.884298,0.735234,0.720859,8,14,106482
real_left_right_fist,shallow_fbcsp,default,ztrial,run_disjoint,20260918,run0,3260,1637,2771,489,0.947853,0.754601,0.737324,22,28,106482
real_left_right_fist,shallow_fbcsp,default,ztrial,run_disjoint,20260918,run1,3267,1630,2776,491,0.935721,0.712831,0.731902,21,27,106482
real_left_right_fist,shallow_fbcsp,default,ztrial,run_disjoint,20260918,run2,3267,1630,2776,491,0.848485,0.735234,0.686503,8,14,106482
real_left_right_fist,shallow_fbcsp,default,ztrial,subject_disjoint,20260916,subj0,3240,1657,2745,495,0.894444,0.668687,0.717562,11,17,106482
real_left_right_fist,shallow_fbcsp,default,ztrial,subject_disjoint,20260916,subj1,3280,1617,2785,495,0.930183,0.721212,0.709957,13,19,106482
real_left_right_fist,shallow_fbcsp,default,ztrial,subject_disjoint,20260916,subj2,3274,1623,2767,507,0.880269,0.714004,0.711645,9,15,106482
real_left_right_fist,shallow_fbcsp,default,ztrial,subject_disjoint,20260917,subj0,3219,1678,2727,492,0.859894,0.70122,0.716329,8,14,106482
real_left_right_fist,shallow_fbcsp,default,ztrial,subject_disjoint,20260917,subj1,3292,1605,2784,508,0.910693,0.714567,0.722118,11,17,106482
real_left_right_fist,shallow_fbcsp,default,ztrial,subject_disjoint,20260917,subj2,3283,1614,2794,489,0.925678,0.678937,0.714994,15,21,106482
real_left_right_fist,shallow_fbcsp,default,ztrial,subject_disjoint,20260918,subj0,3235,1662,2743,492,0.916229,0.699187,0.737665,13,19,106482
real_left_right_fist,shallow_fbcsp,default,ztrial,subject_disjoint,20260918,subj1,3289,1608,2797,492,0.920341,0.764228,0.70398,17,23,106482
real_left_right_fist,shallow_fbcsp,default,ztrial,subject_disjoint,20260918,subj2,3270,1627,2775,495,0.859327,0.707071,0.698218,9,15,106482
