task,model,width,preproc,protocol,seed,fold,n_train,n_test,n_fit,n_val,train_acc,val_acc,test_acc,best_epoch,epochs_run,n_params
real_fists_feet,eegnet_v4,default,ztrial,subject_disjoint,20260918,subj0,3217,1662,2725,492,0.766553,0.697154,0.669675,12,18,2770
real_fists_feet,eegnet_v4,default,ztrial,subject_disjoint,20260918,subj1,3282,1597,2790,492,0.813528,0.729675,0.692549,21,27,2770
real_fists_feet,eegnet_v4,default,ztrial,subject_disjoint,20260918,subj2,3259,1620,2764,495,0.729058,0.654545,0.658642,11,17,2770
real_fists_feet,shallow_fbcsp,default,ztrial,trial_random,20260916,trial0,3252,1627,2764,488,0.945572,0.741803,0.746773,20,26,106482
real_fists_feet,shallow_fbcsp,default,ztrial,trial_random,20260916,trial1,3253,1626,2765,488,0.877959,0.733607,0.704182,9,15,106482
real_fists_feet,shallow_fbcsp,default,ztrial,trial_random,20260916,trial2,3253,1626,2765,488,0.892714,0.719262,0.731242,11,17,106482
real_fists_feet,shallow_fbcsp,default,ztrial,trial_random,20260917,trial0,3252,1627,2764,488,0.942497,0.77459,0.738783,20,26,106482
real_fists_feet,shallow_fbcsp,default,ztrial,trial_random,20260917,trial1,3253,1626,2765,488,0.938518,0.772541,0.706642,16,22,106482
real_fists_feet,shallow_fbcsp,default,ztrial,trial_random,20260917,trial2,3253,1626,2765,488,0.900707,0.772541,0.725092,9,15,106482
real_fists_feet,shallow_fbcsp,default,ztrial,trial_random,20260918,trial0,3252,1627,2764,488,0.909594,0.764344,0.72772,12,18,106482
real_fists_feet,shallow_fbcsp,default,ztrial,trial_random,20260918,trial1,3253,1626,2765,488,0.959729,0.80123,0.755843,20,26,106482
real_fists_feet,shallow_fbcsp,default,ztrial,trial_random,20260918,trial2,3253,1626,2765,488,0.912696,0.711066,0.735547,12,18,106482
real_fists_feet,shallow_fbcsp,default,ztrial,run_disjoint,20260916,run0,3260,1619,2771,489,0.960429,0.801636,0.770846,32,38,106482
real_fists_feet,shallow_fbcsp,default,ztrial,run_disjoint,20260916,run1,3249,1630,2761,488,0.927978,0.719262,0.719632,17,23,106482
real_fists_feet,shallow_fbcsp,default,ztrial,run_disjoint,20260916,run2,3249,1630,2761,488,0.964297,0.786885,0.749693,31,37,106482
real_fists_feet,shallow_fbcsp,default,ztrial,run_disjoint,20260917,run0,3260,1619,2771,489,0.899693,0.756646,0.751699,13,19,106482
real_fists_feet,shallow_fbcsp,default,ztrial,run_disjoint,20260917,run1,3249,1630,2761,488,0.959988,0.764344,0.753374,27,33,106482
real_fists_feet,shallow_fbcsp,default,ztrial,run_disjoint,20260917,run2,3249,1630,2761,488,0.911357,0.762295,0.729448,12,18,106482
real_fists_feet,shallow_fbcsp,default,ztrial,run_disjoint,20260918,run0,3260,1619,2771,489,0.930675,0.750511,0.74861,15,21,106482
real_fists_feet,shallow_fbcsp,default,ztrial,run_disjoint,20260918,run1,3249,1630,2761,488,0.951062,0.752049,0.739877,20,26,106482
real_fists_feet,shallow_fbcsp,default,ztrial,run_disjoint,20260918,run2,3249,1630,2761,488,0.939674,0.756148,0.740491,17,23,106482
real_fists_feet,shallow_fbcsp,default,ztrial,subject_disjoint,20260916,subj0,3229,1650,2745,484,0.890369,0.669421,0.685455,11,17,106482
real_fists_feet,shallow_fbcsp,default,ztrial,subject_disjoint,20260916,subj1,3262,1617,2767,495,0.938381,0.749495,0.674088,18,24,106482
real_fists_feet,shallow_fbcsp,default,ztrial,subject_disjoint,20260916,subj2,3267,1612,2760,507,0.868687,0.727811,0.724566,9,15,106482
real_fists_feet,shallow_fbcsp,default,ztrial,subject_disjoint,20260917,subj0,3208,1671,2716,492,0.838529,0.715447,0.690006,8,14,106482
real_fists_feet,shallow_fbcsp,default,ztrial,subject_disjoint,20260917,subj1,3285,1594,2784,501,0.88554,0.684631,0.675031,10,16,106482
real_fists_feet,shallow_fbcsp,default,ztrial,subject_disjoint,20260917,subj2,3265,1614,2776,489,0.956815,0.777096,0.703222,24,30,106482
real_fists_feet,shallow_fbcsp,default,ztrial,subject_disjoint,20260918,subj0,3217,1662,2725,492,0.939695,0.739837,0.731649,16,22,106482
real_fists_feet,shallow_fbcsp,default,ztrial,subject_disjoint,20260918,subj1,3282,1597,2790,492,0.885131,0.743902,0.691296,12,18,106482
real_fists_feet,shallow_fbcsp,default,ztrial,subject_disjoint,20260918,subj2,3259,1620,2764,495,0.864989,0.686869,0.67716,15,21,106482
